record,duration_min,eligible,reason,final_rest_onset_min,final_rest_len_min,hr_valid_bin_fraction,n_markers,hr_ref_median,hr_ref_scale,hr_scale_flag,hr_resp,hr_resp_z,hr_burden_drive,hr_t_depart,hr_return_time,hr_status,hr_residual_60,hr_residual_180,hr_residual_360,hr_residual_end,gsr_ref_median,gsr_ref_scale,gsr_scale_flag,gsr_resp,gsr_resp_z,gsr_burden_drive,gsr_t_depart,gsr_return_time,gsr_status,gsr_residual_60,gsr_residual_180,gsr_residual_360,gsr_residual_end
drive01,66.12795698924731,False,no final-rest marker meeting the rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drive02,83.93118279569893,True,,69.00752688172042,14.923655913978504,1.0,13.0,64.97816849893033,2.9464739804234417,False,6.280600337471839,2.131564839601685,1974.2882330149516,10.0,150.0,returned,2.7025549943979685,0.8453889058778197,-0.24671584101054778,2.682346495045558,,,True,,,,,,not_estimable,,,,
drive03,92.71344086021506,False,no final-rest marker meeting the rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drive04,82.00645161290322,True,,66.84408602150538,14.999999999999993,1.0,12.0,69.56158146819382,6.739565822391188,False,5.582636002689583,0.8283376332852372,873.9791146239238,250.0,30.0,returned,-0.7916780258082261,-1.248609313221536,-1.5146038191982072,-1.400738503898009,5.845000000000001,0.9633193500000014,False,6.239499999999998,6.477083637944146,6030.118672483836,10.0,289.99999999999955,returned,6.767745296510435,3.574619361689344,0.5351288749675782,14.695542033905973
drive05,84.26559139784946,True,,67.9978494623656,15.0,1.0,5.0,64.37759107987688,2.6781564583284925,False,12.18335322019297,4.5491566343352945,4495.186469427779,10.0,80.0,returned,0.7256172549540986,1.6628450831326052,0.09968001769442655,-1.3416980711537898,2.808,0.15493170000000003,False,3.1415000000000006,20.276676754983,22525.1191331406,10.0,440.0,returned,16.078052457954048,6.570637254996879,2.543056069222761,-0.16781588274058695
drive06,80.77741935483871,False,no final-rest marker meeting the rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drive07,88.647311827957,False,no final-rest marker meeting the rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drive08,81.19247311827958,True,,65.68817204301075,15.000000000000007,1.0,2.0,62.467367881375566,2.282323848515713,False,0.5543972361697911,0.24290910184824904,1359.6245920185359,100.0,50.0,returned,0.19077195071107425,-1.415968681950052,-0.5401512063869638,-2.026356727034372,2.9345,0.16308599999999981,False,1.8420000000000005,11.294654354144452,11082.618986301717,10.0,310.00000000000045,returned,9.8782237592436,4.522153955581724,0.8492451835228053,-2.5661307530995936
drive09,70.87311827956988,False,no final-rest marker meeting the rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drive10,81.28172043010753,True,,65.94516129032257,14.999999999999993,1.0,6.0,70.34768117096023,3.088424053488696,False,11.09125390484786,3.591234141671425,3787.7841631176325,10.0,30.0,returned,0.6816256385974685,1.2820243805045306,5.390042910875083,6.469358155520915,3.0515,0.1230557999999996,False,6.9624999999999995,56.58002304645552,51676.06890532604,10.0,,censored,42.8545424108414,64.84050325137072,76.87569379094712,112.07923559880999
drive11,81.21827956989247,True,,65.68602150537635,15.0,1.0,2.0,59.90941663525285,2.3740908061000603,False,6.4821266041169,2.7303616978177647,2725.609917180814,20.0,60.0,returned,-0.2078246848931571,0.02796841962452911,0.10841050776439548,-1.9348171069707973,2.6745,0.16530990000000023,False,5.237500000000001,31.682917961961095,30219.0612903401,10.0,,censored,21.82264946019564,10.10526290318969,8.229997114510372,2.616298237431633
drive12,83.07204301075268,True,,67.41075268817204,14.999999999999993,1.0,6.0,58.170198289269166,2.405266422488976,False,6.18966475910544,2.573380105103018,2439.6217334612884,10.0,99.99999999999955,returned,1.9643352359853794,1.6535327548574434,1.1371998775450693,0.40892051021282017,4.8955,0.7034936999999999,False,9.839,13.985910605880338,12965.11255182527,10.0,379.99999999999955,returned,8.7676691347769,4.073241878356551,1.9708776354358255,4.667419196504532
drive13,80.46881720430108,True,,64.01075268817205,14.999999999999993,1.0,5.0,82.5684520568243,3.757265147998888,False,17.359595647189195,4.620274312137615,4194.312574187124,10.0,50.0,returned,0.5948822315488924,0.11819773876379719,-0.7669225468552237,1.107635963372894,,,True,,,,,,not_estimable,,,,
drive14,80.46881720430108,True,,64.01075268817205,14.999999999999993,1.0,5.0,82.5684520568243,3.757265147998888,False,17.359595647189195,4.620274312137615,4194.312574187124,10.0,50.0,returned,0.5948822315488924,0.11819773876379719,-0.7669225468552237,1.107635963372894,16.213250000000002,0.6682819499999989,False,12.722249999999995,19.03724917304742,21662.847545111796,10.0,,censored,13.024816845644287,12.739757523003595,14.526428553098004,18.942977586032395
drive15,77.64408602150539,False,no final-rest marker meeting the rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drive16,64.96559139784947,False,no final-rest marker meeting the rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drive17a,29.035555555555558,False,no final-rest marker meeting the rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drive17b,25.435483870967744,False,no final-rest marker meeting the rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
